,Course Alias,Course Name,Difficulty,Instructor Access,Interest Score,Readings Value,Work Required
87,ARTH-501,MUSEUM METHODS,2.64,3.37,3.22,2.94,2.7
88,CLST-328,TOPOG & MON OF ANC ROME,2.27,3.62,3.72,2.44,2.33
89,ANCH-535,ROME'S MEDITERR ECONOMY,3.24,3.36,3.63,2.94,3.34
90,NELC-243,HISTORY OF ANCIENT IRAQ,2.8,3.65,3.3,3.2,2.2
91,ACCT-011,FINANCIAL ACCOUNTING,2.65,3.29,2.88,2.81,2.68
92,ACCT-012,MANAGERIAL  ACCOUNTING,2.73,3.3,2.8,2.8,2.67
93,ACCT-022,INTERMED FINANCIAL ACCT,2.89,2.99,2.81,2.94,3.12
94,ACCT-101,LECTURE,2.73,2.52,2.23,2.04,2.27
95,ACCT-102,LECTURE,2.54,2.6,2.26,1.89,2.07
96,ACCT-202,FINANCIAL ACCOUNTING II,2.85,3.16,2.67,2.54,2.41
97,ACCT-203,COST ACCOUNTING,2.69,2.94,2.43,2.18,2.24
98,ACCT-205,TAX PLANNING & ADMINISTR,2.57,2.67,3.11,1.79,1.84
99,ACCT-208,AUDITING,1.71,2.82,2.47,2.37,1.55
100,ACCT-230,INT'L ACCT & FIN REPORT,1.72,2.76,2.17,2.01,1.88
101,ACCT-201,FINANCIAL ACCOUNTING I,2.95,3.2,2.35,2.33,2.47
102,ACCT-243,ACCT FOR COMPLX FIN STRU,3.54,2.79,2.57,2.6,3.39
103,ACCT-411,FINANCIAL ACCOUNTING,2.65,3.29,2.88,2.81,2.68
104,ACCT-412,MANAGERIAL ACCOUNTING,2.73,3.3,2.8,2.8,2.67
105,ACCT-242,FIN. ACC:AN. & REP. INCE,2.89,3.11,2.81,2.86,2.92
106,ACCT-742,PROBLEMS IN FIN REPORTIN,2.93,3.14,2.64,2.73,2.71
107,ACCT-897,TAXES AND BUS STRATEGY,3.33,3.35,3.04,2.76,2.85
108,ACCT-603,BASICS OF ACCOUNTING,2.24,3.45,3.8,2.93,1.9
109,ACCT-604,ACCT REVIEW COURSE,2.44,2.42,1.44,2.21,2.15
110,ACCT-608,WAIVER EXAM PREPARATION,3.18,2.76,2.37,2.41,2.84
111,ACCT-743,ACCT FOR COMPLX FIN STRC,3.54,2.79,2.57,2.6,3.39
112,ACCT-611,FINANCIAL ACCOUNTING,2.66,3.11,2.2,2.34,2.28
113,ACCT-612,ACCELERATED FIN ACCT,3.03,2.66,2.02,2.25,2.38
114,ACCT-613,FIN AND MNGL ACCT,2.69,3.11,2.96,2.47,2.38
115,ACCT-706,FUNDMTLS MANAG ACCT II,2.44,2.89,3.07,2.4,2.39
116,ACCT-747,FIN STATEMENT & DIS ANA,1.69,3.14,3.54,2.56,1.8
117,AFAM-015,INTRO AFRO-AM STUDIES,3.0,3.79,3.71,3.86,3.69
118,AFAM-400,DU BOIS: THEORIZING RACE,2.62,3.17,3.59,3.27,2.36
119,AFST-243,INTERMEDIATE AMHARIC II,3.0,3.62,3.75,3.77,1.85
120,ANTH-355,URBAN NEIGHBORHOODS,2.47,2.71,2.35,3.0,2.41
121,ANTH-416,PUBLIC INTEREST ANTHRO,2.48,3.69,3.62,3.24,2.93
122,ENGL-081,AFRICAN-AMERICAN LIT,2.44,3.08,3.02,3.44,2.62
123,ENGL-293,TOPICS LIT & SOCIETY: Race Space and Law in the 19th Century United States,2.77,3.3,3.27,3.44,2.83
124,ENGL-381,TPCS AFRICAN-AMER LIT: Teaching Literature in the Community,2.75,3.35,3.4,3.4,2.9
125,HIST-075,LECTURE,2.12,2.91,2.68,2.55,2.46
126,HIST-204,HIST OF LAW & SOCIAL POL,2.56,3.45,3.19,3.08,2.85
127,HIST-214,GEN HRS AMERICA AFT 1800: RELIGION IN AMER HIST,2.34,3.5,3.21,2.98,2.65
128,HIST-363,LECTURE,2.51,3.05,2.78,2.93,2.87
129,HIST-489,AFRICANS ABROAD,2.25,3.21,3.29,3.25,2.5
130,LGST-218,DIVERSITY & THE LAW,1.74,2.82,3.02,2.57,1.68
131,MUSC-075,JAZZ:STYLE & HISTORY,2.16,3.07,3.0,2.12,1.83
132,SOCI-006,RACE & ETHNIC RELATIONS,2.16,3.07,3.05,3.0,2.38
133,URBS-405,RELIGSOC JUST & URB DEV,2.71,3.67,3.66,3.35,2.79
134,AFAM-001,INTRO TO AFRO-AM STUDIES,2.25,3.26,3.54,3.23,2.45
135,AFAM-097,AMERICAN RACISM,1.97,3.45,3.88,3.58,2.09
136,AFAM-278,THE DOCUMENTARY MOVIE: The Documentary Movie: Planning Production and Serving Community,3.0,4.0,4.0,4.0,4.0
137,AFST-225,AFRICAN LANG. & CULTURE,1.45,3.1,2.84,2.43,1.35
138,AFST-241,ELEMENTARY AMHARIC II,2.82,3.77,3.69,3.2,2.06
139,ANTH-303,METHODS IN URBAN ETHNOG,2.39,3.51,2.96,1.69,2.82
140,ENGL-281,TPCS AFRICAN-AMER LIT: The Making of a Canon of 20th Century Afro-American Literature,2.72,3.18,3.15,3.29,2.91
141,ENGL-290,FEMINIST FAIRY TALES,2.37,3.33,3.4,3.43,2.64
142,RELS-113,WESTERN RELIG THINKERS: MUHAMMAD,2.46,3.17,3.47,3.22,2.84
143,RELS-517,RELIGION IN AMER HIST II,2.41,3.28,3.63,3.31,2.71
144,SOCI-112,DISCRIM: SEX RACE/CONFL: Discrimination: Sexual & Racial,2.21,2.92,2.61,2.46,2.32
145,SOCI-120,SOCIAL STATISTICS,2.16,2.9,2.02,2.23,2.3
146,SOCI-230,SOC OF IMMIGR & ETHNCITY,2.23,3.37,2.98,2.96,2.5
147,SOCI-530,SOCIAL PSYCHOLOGY,2.55,3.55,3.16,3.02,2.65
148,AFAM-207,ISSUES IN BLACK CINEMA: Issues in Black Independent Cinema:  The Documentary,2.5,2.7,2.1,1.75,3.1
149,AFAM-270,INTERMEDIATE YORUBA I,2.25,3.75,3.5,3.5,2.25
150,AFST-180,ELEMENTARY SWAHILI I,1.72,3.7,3.51,3.17,1.65
151,AFST-190,INTRODUCTION TO AFRICA,2.23,3.08,2.81,2.69,2.58
152,AMES-159,HIST ORIGINS OF RACISM,2.01,3.49,2.71,3.03,2.36
153,ANTH-214,SOCIETIES/CULTRS AFRICA,2.0,3.42,3.06,2.31,2.42
154,ENGL-003,WRITING ABOUT LIT & SOC,2.38,3.54,2.95,2.99,2.66
155,ENGL-016,TOPICS IN LITERATURE: The Ancients and Shakespeare on Justice and Happiness,2.23,3.3,3.01,2.65,2.32
156,ENGL-093,LIT & SOCIETY,2.75,3.33,3.18,3.44,2.75
157,ENGL-260,ADV. TOPICS IN NARRATIVE: Narratives of the Self:  Colonial & Postcolonial Autiobiography,2.67,3.61,3.37,3.46,2.88
158,ENGL-270,POETRY AND POETICS,2.34,3.49,3.3,3.09,2.38
159,FREN-231,CINEMA AFRICAIN FRANCOPH,2.17,3.65,3.62,3.28,2.45
160,HIST-076,LECTURE,2.19,3.23,3.06,3.06,2.55
161,HIST-168,HIST OF AMER LAW TO 1877,2.59,2.76,2.63,2.9,2.63
162,HIST-484,TOPICS IN AFAM HISTORY: AFRICAN/AM INTELLECTUAL,2.76,3.14,3.56,3.57,3.01
163,RELS-117,AFRICAN AMERICAN RELIG,2.21,2.81,2.88,3.35,2.62
164,RELS-412,AF-AM SPIRITUAL AUTOBIOG,2.42,3.0,2.75,3.83,2.83
165,URBS-270,ETHNICITY,2.33,3.47,3.2,3.14,2.62
166,URBS-472,RACE & THE CITY:  Origins & Prospects of the Black Underclass,2.79,3.01,3.18,2.84,3.43
167,ENGL-283,TPCS 19TH C AMER LIT,2.72,3.34,2.63,2.98,2.8
168,ENGL-570,TOPICS IN AFRO-AM LIT,3.15,3.4,3.4,3.38,3.36
169,LING-160,AFRCN AMER & LATINO ENGL,1.27,2.77,2.69,2.08,1.64
170,MUSC-253,MUSIC & PERF OF AFRICA,2.29,3.71,3.14,3.0,2.57
171,SOCI-041,DIVERSITY IN HIGHER EDUC,2.5,2.9,3.03,2.44,2.66
172,URBS-255,URBAN NEIGHBORHOODS,2.13,3.35,2.86,2.89,2.36
173,AFAM-301,AFRICA & AFR. DIASPORA,1.8,3.8,3.8,3.8,2.4
174,ASAM-009,WRITING SEMINAR IN ASAM: Writing About Asian American Communities,1.76,3.7,3.79,2.82,2.09
175,ENGL-057,LIT OF AMERICAS BFR 1900,2.32,3.43,3.03,2.92,2.56
176,ENGL-113,POETRY WRITING WORKSHOP,2.04,3.42,3.63,3.35,2.25
177,HIST-275,ISLAM & SOC'TY IN AFRICA,2.17,3.42,3.23,2.54,2.17
178,SOCI-135,LAW & SOCIETY,2.14,3.11,2.78,2.83,2.02
179,URBS-540,LIBERATION & OWNERSHIP,2.5,3.55,3.45,3.36,2.45
180,AFAM-064,MUSIC & LIBERATION,2.09,3.91,3.91,3.73,1.91
181,ANTH-018,AFRICAN WORLDS,2.29,3.26,2.98,2.84,2.57
182,ENGL-090,WOMEN & LIT,2.43,3.45,3.23,3.19,2.76
183,ENGL-100,INTRO. TO LITERARY STUDY,2.59,3.04,2.81,2.87,2.66
184,FOLK-203,AFRO-AMERICAN FOLKLORE,2.0,3.36,2.45,2.73,2.45
185,MUSC-258,CARIBBEAN MUS & DIASPORA,2.56,3.56,3.57,2.83,2.59
186,RELS-518,RACE RELIG/CRIT THEORY,2.0,4.0,4.0,4.0,3.0
187,SOCI-430,ADVANCED TOPICS IN SOC: WEBER,2.49,3.31,2.78,2.91,2.73
188,URBS-078,Faculty/Student Collaborative Action: Seminar in Urban Univ/Comm Relations,2.01,3.49,3.45,2.53,2.44
189,AFRC-001,INTRO AFRICANA STUDIES,2.19,2.98,2.98,2.71,2.54
190,AFRC-302,AF AMER CRIME & JUSTICE,2.0,3.5,4.0,4.0,3.0
191,AFRC-309,Writing Out Loud: Developing Solo Performance,2.21,2.93,3.19,3.2,2.19
192,AFRC-310,WITHOUT STRUGGLE,2.07,3.78,3.88,3.64,2.43
193,AFRC-532,AF AMER POETRY & POETICS,2.25,2.5,2.25,3.75,3.25
194,AFST-151,ELEMENTARY ZULU II,2.2,3.5,3.64,3.63,1.2
195,AFST-161,ELEMENTARY TWI II,1.75,3.64,3.89,3.7,0.8
196,AFST-171,ELEMENTARY YORUBA II,2.5,3.14,3.67,3.71,1.2
197,AFST-211,INTRO AFRICAN PHILOSOPHY,1.7,4.0,3.8,3.7,1.7
198,AFST-225,AFRICAN LANG. & CULTURE,1.45,3.1,2.84,2.43,1.35
199,AFST-241,ELEMENTARY AMHARIC II,2.82,3.77,3.69,3.2,2.06
200,AFST-251,INTERMEDIATE ZULU II,2.0,3.53,3.68,3.58,1.23
201,ANTH-018,AFRICAN WORLDS,2.29,3.26,2.98,2.84,2.57
202,ANTH-214,SOCIETIES/CULTRS AFRICA,2.0,3.42,3.06,2.31,2.42
203,ASAM-150,TOPICS IN ASIAN-AM STDS,2.21,3.4,3.02,2.84,2.43
204,ENGL-081,AFRICAN-AMERICAN LIT,2.44,3.08,3.02,3.44,2.62
205,ENGL-145,ADV NON-FIC WRITING,2.55,3.52,3.62,3.32,2.68
206,ENGL-281,TPCS AFRICAN-AMER LIT: The Making of a Canon of 20th Century Afro-American Literature,2.72,3.18,3.15,3.29,2.91
207,HIST-075,LECTURE,2.12,2.91,2.68,2.55,2.46
208,HIST-169,HISTORY OF AMERICAN LAW,2.67,2.94,2.67,3.11,2.66
209,HIST-170,THE AMERICAN SOUTH,2.54,3.05,3.33,2.95,2.75
210,HIST-204,HIST OF LAW & SOCIAL POL,2.56,3.45,3.19,3.08,2.85
211,HIST-363,LECTURE,2.51,3.05,2.78,2.93,2.87
212,HIST-530,20TH C AFAM HISTORIOGRAP,3.33,3.74,3.58,3.66,3.33
213,LGST-218,DIVERSITY & THE LAW,1.74,2.82,3.02,2.57,1.68
214,MUSC-158,MUSIC OF LATIN AMERICA,2.03,3.79,3.56,2.59,2.07
215,MUSC-258,CARIBBEAN MUS & DIASPORA,2.56,3.56,3.57,2.83,2.59
216,SOCI-001,INTRO TO SOCIOLOGY,2.03,2.95,2.87,2.79,2.28
217,SOCI-006,RACE & ETHNIC RELATIONS,2.16,3.07,3.05,3.0,2.38
218,SOCI-120,SOCIAL STATISTICS,2.16,2.9,2.02,2.23,2.3
219,SOCI-230,SOC OF IMMIGR & ETHNCITY,2.23,3.37,2.98,2.96,2.5
220,SOCI-300,MEASURING HOUSING DISC,2.41,3.49,2.63,2.27,2.84
221,URBS-078,Faculty/Student Collaborative Action: Seminar in Urban Univ/Comm Relations,2.01,3.49,3.45,2.53,2.44
222,URBS-405,RELIGSOC JUST & URB DEV,2.71,3.67,3.66,3.35,2.79
223,AFRC-400,SEMINAR IN AFAMS: BLACKS IN AMER FILM/TV,2.36,2.96,3.67,3.13,2.27
224,AFRC-420,ADV TPCS IN AFRCANA STDS: SOCIOLOGY W.E.B. DUBOIS,2.31,3.34,3.27,4.0,2.38
225,AFST-150,ELEMENTARY ZULU I,1.95,3.49,3.68,3.48,1.43
226,AFST-160,ELEMENTARY TWI I,2.22,3.1,3.68,3.57,1.21
227,AFST-180,ELEMENTARY SWAHILI I,1.72,3.7,3.51,3.17,1.65
228,AFST-190,INTRODUCTION TO AFRICA,2.23,3.08,2.81,2.69,2.58
229,AFST-270,INTERMEDIATE YORUBA I,2.0,3.19,3.49,3.39,1.07
230,AFST-305,AFR WOMEN VCS-PC LIF NAR,1.67,2.85,2.71,2.85,1.79
231,FREN-390,SURVEY FRANCOPHONE LIT,2.54,3.47,3.47,3.54,2.67
232,HIST-076,LECTURE,2.19,3.23,3.06,3.06,2.55
233,HIST-168,HIST OF AMER LAW TO 1877,2.59,2.76,2.63,2.9,2.63
234,HIST-275,ISLAM & SOC'TY IN AFRICA,2.17,3.42,3.23,2.54,2.17
235,HIST-484,TOPICS IN AFAM HISTORY: AFRICAN/AM INTELLECTUAL,2.76,3.14,3.56,3.57,3.01
236,HIST-529,RDS IN AFAM HIST TO 1900,2.55,3.64,3.0,2.91,2.91
237,LING-160,AFRCN AMER & LATINO ENGL,1.27,2.77,2.69,2.08,1.64
238,MUSC-050,WORLD MUSICS & CULTURES,1.96,3.26,2.97,2.41,2.12
239,MUSC-075,JAZZ:STYLE & HISTORY,2.16,3.07,3.0,2.12,1.83
240,RELS-111,RELIGION/SECULAR VALUES: THE AMERICAN JESUS,2.12,3.04,3.2,3.05,2.25
241,RELS-517,RELIGION IN AMER HIST II,2.41,3.28,3.63,3.31,2.71
242,SOCI-011,URBAN SOCIOLOGY,2.2,3.06,2.7,2.8,2.35
243,SOCI-135,LAW & SOCIETY,2.14,3.11,2.78,2.83,2.02
244,URBS-100,HOMELESSNESS AND THE URBAN CRISIS,2.39,3.1,2.78,2.55,2.49
245,URBS-255,URBAN NEIGHBORHOODS,2.13,3.35,2.86,2.89,2.36
246,URBS-460,Comprehensive School Reform as Applied Public Policy,2.69,3.15,3.17,3.17,2.84
247,AFRC-102,BLACK POPULAR CULTURE,2.27,3.32,3.27,3.41,2.27
248,RELS-210,AFRICAN RELIGIONS,1.77,2.27,2.83,2.22,1.76
249,URBS-208,PENN-WEST PHILA SUMM INT,2.06,3.56,3.02,2.16,2.38
250,ANTH-416,PUBLIC INTEREST ANTHRO,2.48,3.69,3.62,3.24,2.93
251,ENGL-080,INTRO TO AMERICAN LIT,2.58,2.89,2.27,2.66,2.76
252,HIST-353,THE BLACK ATLANTIC,2.69,3.54,3.62,3.11,2.71
253,RELS-113,WESTERN RELIG THINKERS: MUHAMMAD,2.46,3.17,3.47,3.22,2.84
254,BENF-210,FAC/STUD COLLAB LEARNING: Action-Oriented Policies: Hist of Blk Educ in Phila Franklin to Present,1.31,3.23,2.77,2.23,1.92
255,ENGL-084,MODERN AMER LIT 1900-45,2.5,3.15,2.9,3.05,2.65
256,FREN-593,RECENT AFRICAN FICTION,2.56,3.71,3.34,3.34,2.7
257,HIST-304,DEFINING AMER'N FREEDOM: TEACHING ABT AM. FREEDOM,1.92,3.46,3.17,2.43,2.17
258,MUSC-146,STUD IN AFRICAN-AM MUSIC,1.99,3.08,3.39,2.96,2.2
259,URBS-472,RACE & THE CITY:  Origins & Prospects of the Black Underclass,2.79,3.01,3.18,2.84,3.43
260,URBS-480,LIBERATION & OWNERSHIP,2.71,3.54,3.67,3.48,2.61
261,AFRC-220,OUT/SIDE BLACKNESS,2.0,3.0,3.33,3.33,2.33
262,ANTH-132,ANTH & AFRICAN DIASPORA,2.86,3.29,3.43,3.43,2.86
263,ENGL-016,TOPICS IN LITERATURE: The Ancients and Shakespeare on Justice and Happiness,2.23,3.3,3.01,2.65,2.32
264,ENGL-063,IRISH LITERATURE,2.95,3.47,3.44,3.27,3.13
265,ENGL-101,SHAKESPEARE,2.35,3.38,3.28,3.56,2.51
266,ENGL-264,TPCS MDRN AMERICAN LIT: Southern Women Writers:  Gendered Bodies Racial Subjects,2.3,3.48,3.23,3.28,2.44
267,ENGL-288,TPCS MOD AMER POETRY,2.47,3.4,3.41,3.61,2.51
268,HIST-206,MAJ SEM WORLD AFT 1800: CHINESE WOMEN'S HIST,2.54,3.47,3.22,3.08,2.75
269,PSCI-210,CONTEMP AFRICAN POLITICS,2.62,3.06,2.85,2.72,2.82
270,PSCI-355,TOPICS IN RACE & IR: DuBois in International Perspective,2.89,3.5,3.72,3.5,2.84
271,RELS-117,AFRICAN AMERICAN RELIG,2.21,2.81,2.88,3.35,2.62
272,AFST-149,ELEMENTARY ZULU: ACCL,2.1,3.41,3.68,3.56,1.38
273,AFST-243,INTERMEDIATE AMHARIC II,3.0,3.62,3.75,3.77,1.85
274,AFST-263,INTERMEDIATE TWI II,2.0,3.61,3.92,3.75,1.2
275,ANTH-116,CARIBBEAN CULT & POLITIC,2.45,3.26,3.24,3.31,2.65
276,ENGL-113,POETRY WRITING WORKSHOP,2.04,3.42,3.63,3.35,2.25
277,ENGL-572,Black Atlantic/Black Diaspora,2.54,3.55,3.5,3.83,2.7
278,SOCI-235,LAW AND SOCIAL CHANGE,2.18,3.14,2.84,2.75,2.12
279,ARTH-301,UNDERGRADUATE SEMINAR: Court Artist in Renaissance Italy 1430-1530,2.71,3.51,3.21,3.08,2.82
280,HIST-214,GEN HRS AMERICA AFT 1800: RELIGION IN AMER HIST,2.34,3.5,3.21,2.98,2.65
281,MUSC-157,ACCORDIONS OF NEW WORLD,2.06,3.5,3.46,2.61,2.16
282,PSCI-136,URBAN POLITICS IN THE US,2.19,2.73,2.14,2.61,2.23
283,URBS-178,Faculty/Student Collaborative Action: Seminar in Urban Univ/Comm Relations,1.97,3.27,3.28,2.49,2.29
284,URBS-270,ETHNICITY,2.33,3.47,3.2,3.14,2.62
285,AFRC-107,FRESHMAN SEMINAR: Fashion and Image in the African Diaspora,2.44,3.56,2.22,2.56,2.67
286,AFST-247,ADVANCED AMHARIC: ADVANCED AMHARIC PART II,4.0,3.61,3.83,3.67,2.08
287,ANTH-587,RACE NATION EMPIRE,3.37,3.82,3.7,3.55,3.36
288,ENGL-054,MUSIC AND LITERATURE: MUSC/LIT. AFRICAN AMER.,2.02,3.24,2.98,2.97,2.25
289,ENGL-415,READING & WRT SHORT STO: Storytelling in Creative Fiction and Non-Fiction,2.69,3.46,3.5,3.14,2.86
